id,date,account,vendor,amount,description
GL-3043,2024-01-03,6710 · Equipment,Greystone Consulting,2411.73,Hardware
GL-3044,2024-01-03,6100 · Facilities,Foxglen Solutions,873.18,Facilities services
GL-3045,2024-01-03,6600 · Marketing,Overhill Contractors,2730.25,Marketing spend
GL-3046,2024-01-03,6400 · Travel,Lyndon Contractors,1414.96,Client visit travel
GL-3047,2024-01-03,6210 · Software,Deerpath Supply,5952.19,Subscription renewal
GL-3048,2024-01-03,6210 · Software,Yarrowmere Contractors,4524.75,Subscription renewal
GL-3049,2024-01-03,6100 · Facilities,Ridgemont Consulting,2625.01,Building maintenance
GL-3050,2024-01-03,6210 · Software,Islewood Supply,3647.57,Platform fee
GL-3051,2024-01-03,6210 · Software,Parkfield Vendors,2529.28,Subscription renewal
GL-3052,2024-01-03,6800 · Events,Timberline Supply,1836.24,Venue booking
GL-3053,2024-01-04,6100 · Facilities,Northstar Facilities,8910.57,Monthly building services
GL-3054,2024-01-04,6710 · Equipment,Brackendale Group,4911.98,Equipment purchase
GL-3055,2024-01-04,6000 · Office,Brackendale Co,2386.85,General office purchase
GL-3056,2024-01-04,6300 · Contractors,Kingswell Group,11109.61,Project support
GL-3057,2024-01-04,6710 · Equipment,Brackendale Group,2495.83,Equipment maintenance
GL-3058,2024-01-04,6900 · Miscellaneous,Stonebridge Traders,3032.14,General purchase
GL-3059,2024-01-04,6900 · Miscellaneous,Oldbridge Logistics,1342.04,General purchase
GL-3060,2024-01-04,6800 · Events,Dunmore Materials,4653.27,Venue booking
GL-3061,2024-01-04,6400 · Travel,Ridgemont Holdings,2042.52,Conference travel
GL-3062,2024-01-04,6400 · Travel,Rushmere Solutions,664.52,Conference travel
GL-3063,2024-01-04,6300 · Contractors,Everline Holdings,9958.98,Project support
GL-3064,2024-01-04,6500 · Professional,Mosswell Logistics,3280.59,Consulting engagement
GL-3065,2024-01-04,6300 · Contractors,Ustane Partners,4456.69,Project support
GL-3066,2024-01-04,6710 · Equipment,Larkspur Group,3954.9,Hardware
GL-3067,2024-01-04,6900 · Miscellaneous,Everline Advisory,850.94,General purchase
GL-3068,2024-01-04,6000 · Office,Kingswell Solutions,1408.48,General office purchase
GL-3069,2024-01-04,6000 · Office,Rushmere Advisory,893.15,General office purchase
GL-3070,2024-01-04,6600 · Marketing,Barrow Vendors,1343.29,Content production
GL-3071,2024-01-04,6800 · Events,Jasperton Consulting,1031.46,Team event
GL-3072,2024-01-04,6100 · Facilities,Jasperton Trade Ltd,1495.13,Building maintenance
GL-3073,2024-01-04,6900 · Miscellaneous,Underbrook Distribution,981.92,General purchase
GL-3074,2024-01-05,6000 · Office,Paper Kite Supply,2087.31,Breakroom restock
GL-3075,2024-01-05,6000 · Office,Paper Kite Supply,2904.67,Breakroom restock
GL-3076,2024-01-05,6400 · Travel,Northwind Travel Co,2557.38,Client visit travel
GL-3077,2024-01-05,6000 · Office,Quarryfield Materials,2679.19,General office purchase
GL-3078,2024-01-05,6900 · Miscellaneous,Ustane Contractors,1544.57,Miscellaneous expense
GL-3079,2024-01-05,6600 · Marketing,Ashcombe Logistics,1593.12,Marketing spend
GL-3080,2024-01-05,6710 · Equipment,Everline Trade Ltd,1777.12,Hardware
GL-3081,2024-01-05,6000 · Office,Ivywood & Finch,1166.2,Office supplies
GL-3082,2024-01-05,6100 · Facilities,Silverlake Trade Ltd,4477.09,Repairs
GL-3083,2024-01-05,6100 · Facilities,Ashcombe Supply Co,5904.12,Building maintenance
GL-3084,2024-01-05,6800 · Events,Timberline Traders,4458.3,Event costs
GL-3085,2024-01-05,6710 · Equipment,Mosswell Partners,3726.77,Hardware
GL-3086,2024-01-05,6000 · Office,Fairhaven Traders,3116.37,General office purchase
GL-3087,2024-01-05,6800 · Events,Ashford & Finch,1640.63,Team event
GL-3088,2024-01-05,6300 · Contractors,Wrenfield Supply,6747.9,Project support
GL-3089,2024-01-05,6300 · Contractors,Timberline & Finch,3075.49,Consulting work
GL-3090,2024-01-05,6600 · Marketing,Valeworth Holdings,4222.46,Content production
GL-3091,2024-01-05,6500 · Professional,Ashford Advisory,1849.18,Professional services
GL-3092,2024-01-05,6600 · Marketing,Thornleigh Supply,569.37,Marketing spend
GL-3093,2024-01-05,6210 · Software,Millhaven Supply,1145.01,Software license
GL-3094,2024-01-08,6500 · Professional,Redwood Insurance Brokers,3853.21,Business insurance premium
GL-3095,2024-01-08,6800 · Events,Juniper Partners,1835.33,Event costs
GL-3096,2024-01-08,6210 · Software,Gladewell Services,5185.98,Platform fee
GL-3097,2024-01-08,6210 · Software,Birchwood Traders,3060.98,Subscription renewal
GL-3098,2024-01-08,6300 · Contractors,Oakhaven Group,3912.08,Contractor invoice
GL-3099,2024-01-08,6900 · Miscellaneous,Cloverfield & Sons,2309.5,Miscellaneous expense
GL-3100,2024-01-08,6710 · Equipment,Jasperton Traders,4513.99,Equipment purchase
GL-3101,2024-01-08,6210 · Software,Kingswell Services,2342.94,Platform fee
GL-3102,2024-01-08,6100 · Facilities,Kingswell Supply,1867.41,Repairs
GL-3103,2024-01-08,6800 · Events,Thornleigh Services,4471.29,Event costs
GL-3104,2024-01-08,6600 · Marketing,Hollowbrook Holdings,5650.18,Marketing spend
GL-3105,2024-01-08,6400 · Travel,Ashcroft Group,1252.1,Client visit travel
GL-3106,2024-01-08,6000 · Office,Heathfield Partners,878.71,Breakroom restock
GL-3107,2024-01-08,6000 · Office,Oakhaven Ventures,662.38,Breakroom restock
GL-3108,2024-01-09,6600 · Marketing,Drift Marketing Co,10420.54,Marketing campaign
GL-3109,2024-01-09,6400 · Travel,Elmgate Supply,1350.98,Client visit travel
GL-3110,2024-01-09,6800 · Events,Grovemont Contractors,884.24,Team event
GL-3111,2024-01-09,6800 · Events,Valeworth Group,4190.42,Venue booking
GL-3112,2024-01-09,6600 · Marketing,Fairhaven Distribution,4939.25,Marketing spend
GL-3113,2024-01-09,6900 · Miscellaneous,Islewood Group,599.41,Miscellaneous expense
GL-3114,2024-01-09,6400 · Travel,Westgate & Sons,2745.02,Travel expense
GL-3115,2024-01-09,6300 · Contractors,Vinewood Traders,4637.65,Contractor invoice
GL-3116,2024-01-09,6710 · Equipment,Pemberton Contractors,2086.2,Equipment purchase
GL-3117,2024-01-09,6000 · Office,Barrow Group,2804.54,Office supplies
GL-3118,2024-01-09,6600 · Marketing,Thornleigh Supply,2088.51,Ad campaign
GL-3119,2024-01-09,6300 · Contractors,Thornleigh & Sons,2044.21,Consulting work
GL-3120,2024-01-09,6500 · Professional,Kingswell Partners,5775.55,Professional services
GL-3121,2024-01-09,6600 · Marketing,Elmgate Group,1485.09,Ad campaign
GL-3122,2024-01-09,6000 · Office,Parkfield Contractors,1110.68,Office supplies
GL-3123,2024-01-09,6100 · Facilities,Everline Ventures,2386.23,Building maintenance
GL-3124,2024-01-09,6600 · Marketing,Silverlake Holdings,3568.03,Content production
GL-3125,2024-01-09,6800 · Events,Ferncliff Ventures,621.54,Event costs
GL-3126,2024-01-09,6100 · Facilities,Silverlake Supply Co,5874.42,Repairs
GL-3127,2024-01-09,6210 · Software,Pinehollow Vendors,461.18,Subscription renewal
GL-3128,2024-01-09,6710 · Equipment,Ironwood Materials,5225.27,Hardware
GL-3129,2024-01-10,6300 · Contractors,Morrow Studio LLC,14658.96,Brand system work
GL-3130,2024-01-10,6900 · Miscellaneous,Mosswell & Finch,700.37,Miscellaneous expense
GL-3131,2024-01-10,6710 · Equipment,Underbrook Consulting,653.31,Equipment maintenance
GL-3132,2024-01-10,6600 · Marketing,Hartmoor Group,5552.36,Content production
GL-3133,2024-01-10,6400 · Travel,Foxglen Supply,1965.47,Travel expense
GL-3134,2024-01-10,6210 · Software,Grovemont Supply,3242.31,Platform fee
GL-3135,2024-01-10,6000 · Office,Westgate Holdings,657.41,Office supplies
GL-3136,2024-01-10,6210 · Software,Brackendale Holdings,2595.59,Subscription renewal
GL-3137,2024-01-10,6100 · Facilities,Lyndon Services,3566.08,Repairs
GL-3138,2024-01-10,6600 · Marketing,Greystone Logistics,1121.76,Ad campaign
GL-3139,2024-01-10,6300 · Contractors,Eastmoor Co,5039.72,Contractor invoice
GL-3140,2024-01-10,6710 · Equipment,Timberline & Sons,5070.16,Hardware
GL-3141,2024-01-10,6900 · Miscellaneous,Mosswell Group,792.07,General purchase
GL-3142,2024-01-10,6400 · Travel,Ustane Vendors,437.12,Conference travel
GL-3143,2024-01-10,6900 · Miscellaneous,Everline Advisory,2743.89,General purchase
GL-3144,2024-01-10,6900 · Miscellaneous,Cloverfield & Sons,729.45,General purchase
GL-3145,2024-01-10,6210 · Software,Islewood Ventures,2461.73,Software license
GL-3146,2024-01-10,6100 · Facilities,Pine & Rail Travel,25095.54,Building maintenance
GL-3147,2024-01-11,6600 · Marketing,Pinehollow Ventures,5512.13,Ad campaign
GL-3148,2024-01-11,6710 · Equipment,Valeworth Vendors,1543.1,Hardware
GL-3149,2024-01-11,6400 · Travel,Ridgemont Trade Ltd,2296.8,Conference travel
GL-3150,2024-01-11,6400 · Travel,Nightingale Group,1543.44,Conference travel
GL-3151,2024-01-11,6500 · Professional,Timberline Trade Ltd,7648.88,Professional services
GL-3152,2024-01-11,6100 · Facilities,Brackendale Advisory,3902.22,Facilities services
GL-3153,2024-01-11,6000 · Office,Hartmoor & Finch,1719.96,Breakroom restock
GL-3154,2024-01-11,6210 · Software,Islewood Distribution,3916.71,Subscription renewal
GL-3155,2024-01-11,6210 · Software,Brackendale Holdings,2172.06,Subscription renewal
GL-3156,2024-01-11,6300 · Contractors,Quarryfield Services,9651.33,Consulting work
GL-3157,2024-01-11,6710 · Equipment,Norwich Bay Distribution,908.86,Hardware
GL-3158,2024-01-11,6500 · Professional,Norwich Bay Consulting,3527.85,Consulting engagement
GL-3159,2024-01-11,6600 · Marketing,Mosswell Supply Co,6704.08,Marketing spend
GL-3160,2024-01-11,6300 · Contractors,Nightingale & Sons,10277.7,Consulting work
GL-3161,2024-01-11,6900 · Miscellaneous,Eastmoor Traders,3139.0,Miscellaneous expense
GL-3162,2024-01-11,6100 · Facilities,Ashcroft & Finch,1220.95,Building maintenance
GL-3163,2024-01-11,6210 · Software,Hollowbrook Supply Co,3631.81,Platform fee
GL-3164,2024-01-12,6400 · Travel,Pine & Rail Travel,624.42,Conference travel
GL-3165,2024-01-12,6300 · Contractors,Ashford Supply,4663.21,Project support
GL-3166,2024-01-12,6600 · Marketing,Thornleigh Partners,6602.49,Marketing spend
GL-3167,2024-01-12,6000 · Office,Kingswell Logistics,3125.71,General office purchase
GL-3168,2024-01-12,6000 · Office,Yarrowmere Distribution,2525.18,Office supplies
GL-3169,2024-01-12,6800 · Events,Quarryfield Traders,968.92,Venue booking
GL-3170,2024-01-12,6300 · Contractors,Ashcombe & Finch,1814.87,Project support
GL-3171,2024-01-12,6300 · Contractors,Valeworth & Finch,2686.02,Consulting work
GL-3172,2024-01-12,6710 · Equipment,Longview Holdings,4182.23,Equipment maintenance
GL-3173,2024-01-15,6600 · Marketing,Elmgate Group,4790.46,Content production
GL-3174,2024-01-15,6100 · Facilities,Ustane Holdings,4690.61,Building maintenance
GL-3175,2024-01-15,6500 · Professional,Silverlake Partners,822.79,Advisory fee
GL-3176,2024-01-15,6300 · Contractors,Birchwood Supply Co,8506.64,Contractor invoice
GL-3177,2024-01-15,6300 · Contractors,Ridgemont Advisory,6759.59,Contractor invoice
GL-3178,2024-01-15,6000 · Office,Rushmere Group,3271.41,Office supplies
GL-3179,2024-01-15,6210 · Software,Ustane Traders,2976.77,Subscription renewal
GL-3180,2024-01-15,6300 · Contractors,Juniper Contractors,10504.08,Consulting work
GL-3181,2024-01-15,6100 · Facilities,Birchwood Materials,4747.65,Building maintenance
GL-3182,2024-01-15,6400 · Travel,Greystone Advisory,2281.76,Travel expense
GL-3183,2024-01-15,6100 · Facilities,Ridgemont Contractors,5726.53,Facilities services
GL-3184,2024-01-15,6100 · Facilities,Dunmore Solutions,1193.68,Building maintenance
GL-3185,2024-01-15,6300 · Contractors,Gladewell Advisory,2098.64,Consulting work
GL-3186,2024-01-15,6600 · Marketing,Vinewood & Finch,2077.66,Ad campaign
GL-3187,2024-01-15,6210 · Software,Deerpath Supply,2067.23,Platform fee
GL-3188,2024-01-15,6210 · Software,Ivywood Solutions,4981.76,Platform fee
GL-3189,2024-01-15,6600 · Marketing,Kettleworth Materials,3028.07,Ad campaign
GL-3190,2024-01-15,6900 · Miscellaneous,Stonebridge Holdings,1695.64,General purchase
GL-3191,2024-01-15,6210 · Software,Grovemont Distribution,2817.58,Subscription renewal
GL-3192,2024-01-15,6000 · Office,Jasperton Co,2756.36,Breakroom restock
GL-3193,2024-01-16,6210 · Software,Ashcombe Partners,1591.11,Software license
GL-3194,2024-01-16,6710 · Equipment,Ironwood Vendors,4282.0,Equipment purchase
GL-3195,2024-01-16,6400 · Travel,Stonebridge Distribution,639.74,Conference travel
GL-3196,2024-01-16,6210 · Software,Brackendale Ventures,4445.72,Subscription renewal
GL-3197,2024-01-16,6500 · Professional,Greystone Contractors,8943.19,Advisory fee
GL-3198,2024-01-16,6000 · Office,Norwich Bay Supply Co,1640.92,General office purchase
GL-3199,2024-01-16,6000 · Office,Deerpath Holdings,2187.84,Breakroom restock
GL-3200,2024-01-16,6210 · Software,Millbrook Traders,5196.99,Platform fee
GL-3201,2024-01-16,6900 · Miscellaneous,Kingswell & Finch,2144.28,Miscellaneous expense
GL-3202,2024-01-16,6000 · Office,Cloverfield Consulting,1536.05,Breakroom restock
GL-3203,2024-01-16,6710 · Equipment,Ivywood Trade Ltd,4049.86,Hardware
GL-3204,2024-01-16,6210 · Software,Pinehollow Materials,1169.67,Platform fee
GL-3205,2024-01-16,6600 · Marketing,Everline Vendors,4239.01,Ad campaign
GL-3206,2024-01-16,6000 · Office,Birchwood Vendors,3341.36,General office purchase
GL-3207,2024-01-16,6800 · Events,Greystone Trade Ltd,4577.05,Venue booking
GL-3208,2024-01-16,6900 · Miscellaneous,Millbrook Services,1401.33,Miscellaneous expense
GL-3209,2024-01-16,6710 · Equipment,Hartmoor Supply Co,2065.83,Equipment purchase
GL-3210,2024-01-16,6800 · Events,Juniper & Finch,1720.12,Venue booking
GL-3211,2024-01-16,6000 · Office,Norwich Bay Vendors,1480.88,General office purchase
GL-3212,2024-01-17,6100 · Facilities,Northstar Facilities,8889.86,Monthly building services
GL-3213,2024-01-17,6800 · Events,Deerpath Logistics,4213.81,Venue booking
GL-3214,2024-01-17,6900 · Miscellaneous,Deerpath Group,1838.31,Miscellaneous expense
GL-3215,2024-01-17,6300 · Contractors,Kingsmere Holdings,4879.38,Consulting work
GL-3216,2024-01-17,6000 · Office,Grovemont Logistics,3234.6,Breakroom restock
GL-3217,2024-01-17,6710 · Equipment,Stonebridge Supply Co,4291.46,Equipment purchase
GL-3218,2024-01-17,6710 · Equipment,Grovemont & Sons,2625.15,Equipment purchase
GL-3219,2024-01-17,6710 · Equipment,Parkfield Group,3262.56,Equipment purchase
GL-3220,2024-01-17,6000 · Office,Millhaven Trade Ltd,1790.19,Office supplies
GL-3221,2024-01-17,6600 · Marketing,Norwich Bay Advisory,4962.2,Content production
GL-3222,2024-01-17,6710 · Equipment,Driftwood Co,3382.07,Equipment maintenance
GL-3223,2024-01-17,6000 · Office,Parkfield Solutions,325.82,General office purchase
GL-3224,2024-01-17,6800 · Events,Mosswell Holdings,3786.89,Venue booking
GL-3225,2024-01-17,6000 · Office,Ridgemont Co,2431.26,General office purchase
GL-3226,2024-01-17,6400 · Travel,Deerpath Solutions,192.98,Client visit travel
GL-3227,2024-01-17,6210 · Software,Thornleigh Ventures,1719.86,Platform fee
GL-3228,2024-01-17,6800 · Events,Larkspur Co,4659.59,Venue booking
GL-3229,2024-01-17,6500 · Professional,Elmgate Traders,5614.84,Advisory fee
GL-3230,2024-01-17,6210 · Software,Millbrook Consulting,3016.2,Subscription renewal
GL-3231,2024-01-17,6710 · Equipment,Gladewell Consulting,4272.41,Equipment maintenance
GL-3232,2024-01-17,6100 · Facilities,Ironwood Holdings,1746.71,Building maintenance
GL-3233,2024-01-18,6210 · Software,Cascade IT Partners,5978.8,IT support retainer
GL-3234,2024-01-18,6100 · Facilities,GreenLeaf Utilities,3100.44,Utilities - water
GL-3235,2024-01-18,6800 · Events,Union Hall Catering,801.84,Event catering
GL-3236,2024-01-18,6600 · Marketing,Jasperton Materials,4412.41,Content production
GL-3237,2024-01-18,6600 · Marketing,Kettleworth Group,1941.01,Content production
GL-3238,2024-01-18,6210 · Software,Ivywood Co,4615.96,Subscription renewal
GL-3239,2024-01-18,6000 · Office,Oakhaven Ventures,1039.91,General office purchase
GL-3240,2024-01-18,6400 · Travel,Wrenfield Solutions,2100.25,Travel expense
GL-3241,2024-01-18,6800 · Events,Deerpath Vendors,321.19,Team event
GL-3242,2024-01-18,6500 · Professional,Wrenfield Ventures,4110.47,Advisory fee
GL-3243,2024-01-18,6400 · Travel,Wrenfield Vendors,1784.47,Travel expense
GL-3244,2024-01-18,6600 · Marketing,Birchwood Solutions,1906.16,Content production
GL-3245,2024-01-18,6100 · Facilities,Longview Logistics,2941.74,Repairs
GL-3246,2024-01-18,6000 · Office,Ivywood Materials,2741.6,Office supplies
GL-3247,2024-01-18,6500 · Professional,Quarryfield Consulting,8603.35,Advisory fee
GL-3248,2024-01-18,6800 · Events,Deerpath Vendors,4484.67,Venue booking
GL-3249,2024-01-18,6300 · Contractors,Dunmore Consulting,7658.85,Consulting work
GL-3250,2024-01-18,6600 · Marketing,Ashcombe Consulting,4406.06,Marketing spend
GL-3251,2024-01-18,6800 · Events,Ferncliff Co,1338.8,Venue booking
GL-3252,2024-01-18,6600 · Marketing,Juniper Services,4587.79,Content production
GL-3253,2024-01-18,6900 · Miscellaneous,Overhill Materials,1834.07,Miscellaneous expense
GL-3254,2024-01-18,6100 · Facilities,Ironwood Consulting,4764.17,Repairs
GL-3255,2024-01-19,6710 · Equipment,Grovemont Holdings,1654.48,Equipment purchase
GL-3256,2024-01-19,6210 · Software,Greystone Group,3154.37,Subscription renewal
GL-3257,2024-01-19,6400 · Travel,Oldbridge Supply Co,2404.94,Conference travel
GL-3258,2024-01-19,6900 · Miscellaneous,Westgate Traders,3165.59,General purchase
GL-3259,2024-01-19,6400 · Travel,Jasperton Contractors,789.29,Conference travel
GL-3260,2024-01-19,6210 · Software,Oakhaven Partners,3941.77,Platform fee
GL-3261,2024-01-19,6900 · Miscellaneous,Westgate Traders,3571.96,Miscellaneous expense
GL-3262,2024-01-19,6400 · Travel,Cloverfield Traders,2237.4,Client visit travel
GL-3263,2024-01-19,6710 · Equipment,Kettleworth Advisory,2493.63,Hardware
GL-3264,2024-01-19,6900 · Miscellaneous,Overhill Materials,2529.68,Miscellaneous expense
GL-3265,2024-01-19,6400 · Travel,Ashcombe Supply,574.62,Client visit travel
GL-3266,2024-01-19,6800 · Events,Larkspur Supply Co,453.55,Team event
GL-3267,2024-01-19,6400 · Travel,Kingswell Supply Co,1977.16,Travel expense
GL-3268,2024-01-19,6300 · Contractors,Brackendale Consulting,10025.03,Consulting work
GL-3269,2024-01-19,6710 · Equipment,Deerpath Materials,5639.01,Equipment maintenance
GL-3270,2024-01-19,6000 · Office,Timberline Solutions,2263.26,General office purchase
GL-3271,2024-01-19,6400 · Travel,Dunmore Contractors,2602.61,Client visit travel
GL-3272,2024-01-19,6100 · Facilities,Parkfield Distribution,4424.87,Building maintenance
GL-3273,2024-01-19,6000 · Office,Deerpath Holdings,629.59,Office supplies
GL-3274,2024-01-19,6300 · Contractors,Oldbridge Consulting,2503.86,Project support
GL-3275,2024-01-19,6800 · Events,Timberline Supply,4060.18,Team event
GL-3276,2024-01-22,6100 · Facilities,Northstar Facilities,8112.43,Monthly building services
GL-3277,2024-01-22,6400 · Travel,Valeworth Traders,2437.44,Client visit travel
GL-3278,2024-01-22,6800 · Events,Eastmoor Advisory,3763.09,Venue booking
GL-3279,2024-01-22,6900 · Miscellaneous,Ashcroft Materials,2671.23,General purchase
GL-3280,2024-01-22,6210 · Software,Eastmoor Supply,4156.91,Platform fee
GL-3281,2024-01-22,6600 · Marketing,Nightingale Trade Ltd,6503.08,Ad campaign
GL-3282,2024-01-22,6600 · Marketing,Longview Advisory,3212.56,Content production
GL-3283,2024-01-22,6300 · Contractors,Brackendale Consulting,7538.95,Project support
GL-3284,2024-01-22,6210 · Software,Kingswell Ventures,1034.48,Subscription renewal
GL-3285,2024-01-22,6210 · Software,Kingswell Services,3835.41,Subscription renewal
GL-3286,2024-01-22,6300 · Contractors,Wrenfield Supply,5434.35,Project support
GL-3287,2024-01-22,6400 · Travel,Lyndon Trade Ltd,1791.08,Travel expense
GL-3288,2024-01-22,6100 · Facilities,Ashcroft & Finch,2962.05,Building maintenance
GL-3289,2024-01-22,6400 · Travel,Larkspur Supply,449.45,Travel expense
GL-3290,2024-01-22,6000 · Office,Ashford Materials,258.12,Breakroom restock
GL-3291,2024-01-22,6210 · Software,Millhaven Supply Co,5243.45,Platform fee
GL-3292,2024-01-22,6800 · Events,Timberline Advisory,2141.92,Event costs
GL-3293,2024-01-22,6100 · Facilities,Driftwood Contractors,5276.38,Facilities services
GL-3294,2024-01-22,6600 · Marketing,Ivywood Contractors,564.85,Ad campaign
GL-3295,2024-01-22,6600 · Marketing,Pemberton Group,3146.38,Marketing spend
GL-3296,2024-01-22,6710 · Equipment,Ferncliff Solutions,5329.63,Equipment maintenance
GL-3297,2024-01-23,6600 · Marketing,Barrow Logistics,6738.62,Ad campaign
GL-3298,2024-01-23,6800 · Events,Thornleigh Group,4633.02,Team event
GL-3299,2024-01-23,6710 · Equipment,Norwich Bay Traders,1147.51,Equipment maintenance
GL-3300,2024-01-23,6600 · Marketing,Foxglen Trade Ltd,6493.94,Marketing spend
GL-3301,2024-01-23,6710 · Equipment,Parkfield Group,3147.9,Hardware
GL-3302,2024-01-23,6710 · Equipment,Quarryfield Co,2763.14,Hardware
GL-3303,2024-01-23,6800 · Events,Greystone Trade Ltd,4403.3,Team event
GL-3304,2024-01-23,6300 · Contractors,Ferncliff Holdings,1663.07,Contractor invoice
GL-3305,2024-01-23,6000 · Office,Longview Consulting,687.05,Office supplies
GL-3306,2024-01-23,6300 · Contractors,Brackendale Vendors,6354.94,Consulting work
GL-3307,2024-01-23,6900 · Miscellaneous,Kingswell & Finch,601.25,General purchase
GL-3308,2024-01-23,6300 · Contractors,Copperfield Holdings,6934.6,Contractor invoice
GL-3309,2024-01-23,6000 · Office,Driftwood Services,955.12,Office supplies
GL-3310,2024-01-23,6000 · Office,Barrow & Sons,1484.95,Office supplies
GL-3311,2024-01-23,6300 · Contractors,Brackendale Supply,2737.7,Project support
GL-3312,2024-01-23,6100 · Facilities,Parkfield Traders,2037.21,Repairs
GL-3313,2024-01-23,6000 · Office,Atlas Field Systems,15470.31,General office purchase
GL-3314,2024-01-24,6100 · Facilities,Millbrook Ventures,1591.53,Facilities services
GL-3315,2024-01-24,6800 · Events,Thornleigh Group,1815.15,Event costs
GL-3316,2024-01-24,6600 · Marketing,Oakhaven Holdings,5201.85,Marketing spend
GL-3317,2024-01-24,6900 · Miscellaneous,Ashcombe Group,2418.72,General purchase
GL-3318,2024-01-24,6800 · Events,Westgate Solutions,1507.58,Venue booking
GL-3319,2024-01-24,6000 · Office,Millbrook Trade Ltd,1231.62,General office purchase
GL-3320,2024-01-24,6900 · Miscellaneous,Underbrook Supply,3762.77,Miscellaneous expense
GL-3321,2024-01-24,6800 · Events,Overhill Solutions,3114.74,Venue booking
GL-3322,2024-01-24,6210 · Software,Grovemont Group,1918.32,Subscription renewal
GL-3323,2024-01-24,6100 · Facilities,Parkfield Traders,3716.3,Facilities services
GL-3324,2024-01-24,6300 · Contractors,Deerpath Services,11526.89,Consulting work
GL-3325,2024-01-24,6600 · Marketing,Juniper Services,4683.54,Ad campaign
GL-3326,2024-01-24,6500 · Professional,Pinehollow Services,2653.5,Advisory fee
GL-3327,2024-01-24,6900 · Miscellaneous,Mosswell & Finch,3029.55,General purchase
